feature,degree,theta0,theta1,theta2,theta3,theta4,mse
weight,1,0.008176194197235667,0,0,0,0,0.1135403325085009
weight,2,0.12492853797464892,0.9362209120928434,0,0,0,0.10124583605711493
weight,3,0.12384627107538893,0.7111179878547432,-0.11656198466964228,0,0,0.11206856563324243
weight,4,0.1004761064006171,0.7121383453615495,-0.038968512962138525,0.10967417088650351,0,0.11274326273501883
prod_distance,1,0.008176565227140352,0,0,0,0,1.0493463360671367
prod_distance,2,-0.261019274465069,-0.051152114010551024,0,0,0,0.965713020533368
prod_distance,3,-0.25478675039842197,-0.3403970213824012,0.2620642739443782,0,0,0.946060556387528
prod_distance,4,-0.2896587630861807,-0.35439369006001803,0.3840143938454885,0.15109146809780583,0,0.9484657759771286
time_delivery,1,0.00817656522714037,0,0,0,0,1.052966544019164
time_delivery,2,-0.0022326324177274126,-0.014750036043346605,0,0,0,1.0537971986323749
time_delivery,3,-0.0022236597397092966,-0.011990438162491217,0.010404807916533658,0,0,1.0537946652901011
time_delivery,4,-0.004668574752209553,-0.011948719921850752,0.01876350355502134,-0.0015676716829603559,0,1.0538667069023318
