feature,degree,theta0,theta1,theta2,theta3,theta4,mse,lambda
weight,1,6409.526181966747,0,0,0,0,415855392250.3143,0.0
weight,2,6378.4554102252705,906.492005257646,0,0,0,408122423980.62836,0.0
weight,3,6378.437588714185,892.352812499562,6267.857127748552,0,0,407641882837.7093,0.0
weight,4,6283.833377760919,891.6223464442824,6069.440059633616,1594.3609671412573,0,386203432268.248,0.0
prod_distance,1,6409.526181966747,0,0,0,0,416019802832.32874,0.0
prod_distance,2,6376.756437654661,-47.886835073111506,0,0,0,407345480534.4289,0.0
prod_distance,3,6376.756335833716,-48.26867902353494,6608.67287851635,0,0,407342402548.12946,0.0
prod_distance,4,6248.165273131851,-50.97027451949235,6296.5109719996835,14.957988275432912,0,375367749659.8934,0.0
time_delivery,1,6409.5261819667485,0,0,0,0,416020313415.76227,1.0
time_delivery,2,6378.043126672467,-13.262589509261877,0,0,0,408031183992.4032,0.0
time_delivery,3,6378.043162581724,-13.244321033190866,6351.14304601336,0,0,408031162165.1985,0.0
time_delivery,4,6280.4006731981335,-14.20895075581915,6142.974290450243,-6.032066416562115,0,385374581800.15015,0.0
