zipcode,lambda,f1_score
0,0.0,0.42857142857142855
0,0.2,0.30769230769230765
0,0.4,0.30769230769230765
0,0.6,0.1818181818181818
0,0.8,0.1818181818181818
0,1.0,0.19999999999999998
1,0.0,0.5
1,0.2,0.3076923076923077
1,0.4,0.3076923076923077
1,0.6,0.3333333333333333
1,0.8,0.3333333333333333
1,1.0,0.3333333333333333
2,0.0,0.6666666666666666
2,0.2,0.6666666666666666
2,0.4,0.5714285714285715
2,0.6,0.5714285714285715
2,0.8,0.3333333333333333
2,1.0,0.3333333333333333
3,0.0,0.5454545454545454
3,0.2,0.5454545454545454
3,0.4,0.5
3,0.6,0.5
3,0.8,0.5
3,1.0,0.5
